comparable_name,team_id,season,x_game_score_vs_baseline,WINS,LOSSES,y_actual_diff_points_pg
NYK 2021-22,1610612752,2021-22,7.397485862648239,37,45,-0.1
OKC 2021-22,1610612760,2021-22,-70.07069944677836,24,58,-8.1
ORL 2021-22,1610612753,2021-22,-42.313189785997466,22,60,-8.0
PHI 2021-22,1610612755,2021-22,29.76137114651509,51,31,2.6
PHX 2021-22,1610612756,2021-22,26.967829990177805,64,18,7.5
POR 2021-22,1610612757,2021-22,2.784240728601631,27,55,-8.9
SAC 2021-22,1610612758,2021-22,-0.6302334626188184,30,52,-5.5
SAS 2021-22,1610612759,2021-22,-4.742755267490338,34,48,0.1
TOR 2021-22,1610612761,2021-22,-8.290936151539384,48,34,2.3
UTA 2021-22,1610612762,2021-22,22.77060643801981,49,33,6.0
WAS 2021-22,1610612764,2021-22,-8.821185131082629,35,47,-3.4
ATL 2022-23,1610612737,2022-23,19.153874279956696,41,41,0.3
BOS 2022-23,1610612738,2022-23,23.786476591649702,57,25,6.5
BKN 2022-23,1610612751,2022-23,1.235577028665162,45,37,0.9
CHA 2022-23,1610612766,2022-23,3.6793428498167913,27,55,-6.2
CHI 2022-23,1610612741,2022-23,2.467522078635966,40,42,1.3
CLE 2022-23,1610612739,2022-23,14.321641268007127,51,31,5.4
DAL 2022-23,1610612742,2022-23,0.6918096995484433,38,44,0.1
DEN 2022-23,1610612743,2022-23,19.17937908560448,53,29,3.3
DET 2022-23,1610612765,2022-23,-30.356781903194715,17,65,-8.2
GSW 2022-23,1610612744,2022-23,9.009353613164734,44,38,1.8
HOU 2022-23,1610612745,2022-23,-39.23297517655554,22,60,-7.9
IND 2022-23,1610612754,2022-23,-17.19684530081375,35,47,-3.2
LAC 2022-23,1610612746,2022-23,0.7273037099641897,44,38,0.5
LAL 2022-23,1610612747,2022-23,1.0789004210521824,43,39,0.6
MEM 2022-23,1610612763,2022-23,8.294820548710646,51,31,3.9
MIA 2022-23,1610612748,2022-23,1.190386714211499,44,38,-0.3
MIL 2022-23,1610612749,2022-23,26.66522901752434,58,24,3.6
MIN 2022-23,1610612750,2022-23,20.750223116784568,42,40,0.0
NOP 2022-23,1610612740,2022-23,13.714279646458294,42,40,1.9
